Título,Compositor,Época,Género,Formato vocal,Acompañamiento,Idioma,Dificultad,Ediciones,PDFs,MIDIs,IMSLP URL
O nata lux,Thomas Tallis,,,SATB,,,,0,0,0,https://imslp.org/wiki/O_nata_lux_%28Tallis%2C_Thomas%29
O quam gloriosum,Tomás Luis de Victoria,,,SATB,,,,1,1,0,https://imslp.org/wiki/Missa_O_quam_gloriosum_%28Victoria%2C_Tom%C3%A1s_Luis_de%29
O sacrum convivium,Luigi Molfino,Siglo XX,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
Oh Happy Day,Edwin Hawkins (arr.),Contemporáneo,Gospel,SATB,,Inglés,,1,1,0,
Os justi,Anton Bruckner,,,SATB,,,,0,0,0,https://imslp.org/wiki/Os_justi%2C_WAB_30_%28Bruckner%2C_Anton%29
Os justi,Johannes Brahms,,,SATB,,,,0,0,0,
Panis Angelicus,César Franck,Romanticismo,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,2,0,https://imslp.org/wiki/Panis_angelicus_%28Franck%2C_C%C3%A9sar%29
Pastores de Extremadura,Popular de Extremadura,Tradicional,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,1,0,
Pater Noster,Nikolai Kedrov,Romanticismo,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,https://imslp.org/wiki/Pater_noster_%28Kedrov%2C_Nikolai%29
Pie Jesu,A. Lloyd Webber,Siglo XX,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
Plegaria Virgen de la Victoria,Isidro Ortega,Siglo XX,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
Por mayo era por mayo,Tradicional española,Renacimiento,Romance,SATB,,Español,,1,1,0,
Pro Defunctis (Introitus),Anónimo,Barroco,Religioso,SATB,,Latín,,1,1,0,
Psalm 150,César Franck,,,SATB,,,,0,0,0,
Puer Natus in Bethlehem,Michael Praetorius,,,SATB,,,,0,0,0,https://imslp.org/wiki/Puer_natus_in_Bethlehem_%28Praetorius%2C_Michael%29
Pájaro Triguero,Jota extremeña,Tradicional,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
Requiem,Maurice Duruflé,,,SATB,,,,0,0,0,
Resonet in laudibus,Anónimo (s. XIV),,,SATB,,,,0,0,0,
Rex tremendae,Wolfgang Amadeus Mozart,,,SATB,,,,0,0,0,
"Richte mich, Gott",Felix Mendelssohn,,,SSAATTBB,,,,0,0,0,
"Riu, riu, chiu",Cancionero de Venecia,Renacimiento,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,1,0,
Salmo 150,Ernani Aguiar,,,SATB,,,,0,0,0,
Salve Regina,Hilarión Eslava,Romanticismo,Religioso,SATB,,Latín,,1,1,0,
Salve Rociera,Tradicional de Huelva,Tradicional,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
Salve de Covadonga,Tradicional de Asturias,Tradicional,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
Salve de Trujillo,Joaquín Cuadrado Retamosa/José Iglesias,Tradicional,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
Sanctus (Los Planetas),Gustav Holst,Siglo XX,Orquestal-coral,SATB,,Latín,,1,1,0,
Sanctus (Missa Papae Marcelli),Giovanni Pierluigi da Palestrina,Renacimiento,Misa,SATB,,Latín,,1,1,0,
Sanctus Benedictus (Misa KV49),W.A. Mozart,Clasicismo,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,3,0,
Sanctus Misa alemana,F. Schubert,Romanticismo,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
Santa María,A. Schweisser,Siglo XX,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,1,0,
"Schaffe in mir, Gott",Johannes Brahms,,,SATB,,,,0,0,0,
Set me as a seal,René Clausen,,,SATB,,,,0,0,0,
She Walks in Beauty,Z. Randall Stroope,,,SATB,,,,0,0,0,
Sicut cervus,Giovanni Pierluigi da Palestrina,,,SATB,,,,0,0,0,https://imslp.org/wiki/Sicut_cervus%2C_PdPWV_Mot183_%28Palestrina%2C_Giovanni_Pierluigi_da%29
Signore delle,Cime Giuseppe de Marzi,Siglo XX,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
Silent Night (arr. Pentatonix),Franz Gruber (arr.),Contemporáneo,Villancico,SATB,,Inglés,,1,1,0,
Sing joyfully,William Byrd,,,SATB,,,,0,0,0,https://imslp.org/wiki/Sing_Joyfully_unto_God_Our_Strength%2C_T_208_%28Byrd%2C_William%29
Singet dem Herrn ein neues Lied,Johann Sebastian Bach,,,SATB,,,,0,0,0,https://imslp.org/wiki/Singet_dem_Herrn_ein_neues_Lied%2C_BWV_190_%28Bach%2C_Johann_Sebastian%29
Siyahamba,Tradicional zulú,Tradicional,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
Sleep,Eric Whitacre,,,SATB,,,,0,0,0,
Spem in alium,Thomas Tallis,,,40 voces,,,,0,0,0,https://imslp.org/wiki/Spem_in_alium_nunquam_habui_%28Tallis%2C_Thomas%29
